,Tahun,count,cluster
0,201401,1,0
1,201402,115,0
2,201403,185,0
3,201406,10,0
4,201407,6,0
5,201408,2,0
6,201501,2,0
7,201502,14,0
8,201503,18,0
9,201506,7,0
10,201507,37,0
11,201508,2,0
12,201509,24,0
13,201510,5,0
14,201601,2,0
15,201602,19,0
16,201603,21,0
17,201604,14,0
18,201605,2,0
19,201606,1,0
20,201607,2,0
21,201608,71,0
22,201609,1,0
23,201610,9,0
24,201701,1,0
25,201702,2,0
26,201707,3,0
27,201801,4,0
28,201802,11,0
29,201806,1,0
30,201807,7,0
31,201808,46,0
32,201809,1,0
33,201902,20,0
34,201903,45,0
35,201905,5,0
36,201907,3,0
37,201908,86,0
0,201401,27,10
1,201402,791,10
2,201403,1003,10
3,201404,53,10
4,201405,16,10
5,201406,144,10
6,201407,151,10
7,201408,55,10
8,201409,50,10
9,201410,39,10
10,201411,14,10
11,201412,2,10
12,201501,12,10
13,201502,118,10
14,201503,166,10
15,201504,125,10
16,201505,71,10
17,201506,142,10
18,201507,366,10
19,201508,37,10
20,201509,110,10
21,201510,21,10
22,201511,6,10
23,201512,62,10
24,201601,83,10
25,201602,137,10
26,201603,104,10
27,201604,185,10
28,201605,47,10
29,201606,37,10
30,201607,54,10
31,201608,206,10
32,201609,55,10
33,201610,51,10
34,201612,8,10
35,201701,35,10
36,201702,13,10
37,201703,7,10
38,201704,7,10
39,201705,11,10
40,201706,19,10
41,201707,68,10
42,201708,19,10
43,201709,5,10
44,201710,28,10
45,201711,5,10
46,201712,4,10
47,201801,45,10
48,201802,76,10
49,201803,78,10
50,201804,60,10
51,201805,42,10
52,201806,24,10
53,201807,49,10
54,201808,318,10
55,201809,36,10
56,201810,13,10
57,201811,6,10
58,201812,1,10
59,201901,7,10
60,201902,91,10
61,201903,217,10
62,201904,29,10
63,201905,54,10
64,201906,15,10
65,201907,85,10
66,201908,340,10
0,201402,12,11
1,201403,33,11
2,201407,6,11
3,201408,1,11
4,201502,1,11
5,201503,10,11
6,201504,4,11
7,201505,1,11
8,201506,2,11
9,201507,2,11
10,201604,9,11
0,201401,14,12
1,201402,507,12
2,201403,1106,12
3,201404,41,12
4,201405,9,12
5,201406,387,12
6,201407,469,12
7,201408,62,12
8,201409,12,12
9,201410,8,12
10,201411,4,12
11,201412,4,12
12,201501,16,12
13,201502,121,12
14,201503,174,12
15,201504,129,12
16,201505,31,12
17,201506,113,12
18,201507,451,12
19,201508,13,12
20,201509,46,12
21,201510,1,12
22,201511,3,12
23,201512,67,12
24,201601,23,12
25,201602,27,12
26,201603,95,12
27,201604,78,12
28,201605,15,12
29,201606,30,12
30,201607,55,12
31,201608,106,12
32,201609,41,12
33,201610,15,12
34,201612,7,12
35,201701,7,12
36,201702,14,12
37,201703,9,12
38,201704,6,12
39,201705,6,12
40,201706,11,12
41,201707,32,12
42,201708,17,12
43,201709,5,12
44,201710,19,12
45,201712,3,12
46,201801,19,12
47,201802,32,12
48,201803,38,12
49,201804,42,12
50,201805,13,12
51,201806,13,12
52,201807,40,12
53,201808,404,12
54,201809,7,12
55,201810,1,12
56,201811,1,12
57,201812,1,12
58,201901,13,12
59,201902,125,12
60,201903,117,12
61,201904,32,12
62,201905,56,12
63,201906,30,12
64,201907,97,12
65,201908,185,12
0,201402,3,13
1,201403,6,13
2,201404,1,13
3,201405,1,13
4,201406,3,13
5,201409,4,13
6,201501,1,13
7,201502,9,13
8,201503,4,13
9,201504,5,13
10,201505,12,13
11,201506,4,13
12,201601,7,13
13,201602,3,13
14,201605,1,13
15,201609,1,13
16,201808,1,13
0,201401,23,14
1,201402,237,14
2,201403,347,14
3,201404,55,14
4,201405,46,14
5,201406,80,14
6,201407,61,14
7,201408,24,14
8,201409,103,14
9,201410,83,14
10,201411,20,14
11,201412,10,14
12,201501,59,14
13,201502,50,14
14,201503,28,14
15,201504,94,14
16,201505,74,14
17,201506,168,14
18,201507,276,14
19,201508,57,14
20,201509,350,14
21,201510,52,14
22,201511,12,14
23,201512,134,14
24,201601,43,14
25,201602,12,14
26,201603,41,14
27,201604,120,14
28,201605,64,14
29,201606,50,14
30,201607,47,14
31,201608,26,14
32,201609,28,14
33,201610,9,14
34,201611,2,14
35,201612,17,14
36,201701,27,14
37,201702,30,14
38,201703,31,14
39,201704,25,14
40,201705,58,14
41,201706,57,14
42,201707,44,14
43,201708,48,14
44,201709,27,14
45,201710,36,14
46,201711,13,14
47,201712,10,14
48,201801,70,14
49,201802,89,14
50,201803,64,14
51,201804,51,14
52,201805,39,14
53,201806,23,14
54,201807,32,14
55,201808,76,14
56,201809,71,14
57,201810,37,14
58,201811,14,14
59,201812,9,14
60,201901,10,14
61,201902,55,14
62,201903,129,14
63,201904,39,14
64,201905,55,14
65,201906,39,14
66,201907,165,14
67,201908,427,14
0,201401,4,15
1,201402,908,15
2,201403,1596,15
3,201404,15,15
4,201405,2,15
5,201406,601,15
6,201407,770,15
7,201408,32,15
8,201409,4,15
9,201411,2,15
10,201412,2,15
11,201501,2,15
12,201502,133,15
13,201503,273,15
14,201504,92,15
15,201505,8,15
16,201506,153,15
17,201507,521,15
18,201508,13,15
19,201509,26,15
20,201510,3,15
21,201512,32,15
22,201601,5,15
23,201602,37,15
24,201603,91,15
25,201604,59,15
26,201605,4,15
27,201606,14,15
28,201607,43,15
29,201608,112,15
30,201609,19,15
31,201610,6,15
32,201612,1,15
33,201701,3,15
34,201702,10,15
35,201703,1,15
36,201704,3,15
37,201706,1,15
38,201707,8,15
39,201708,5,15
40,201710,7,15
41,201801,17,15
42,201802,27,15
43,201803,20,15
44,201804,24,15
45,201806,5,15
46,201807,58,15
47,201808,460,15
48,201809,3,15
49,201901,16,15
50,201902,122,15
51,201903,153,15
52,201904,13,15
53,201905,18,15
54,201906,17,15
55,201907,65,15
56,201908,170,15
0,201402,3,16
1,201403,12,16
2,201404,10,16
3,201405,2,16
4,201406,48,16
5,201407,102,16
6,201408,32,16
7,201409,192,16
8,201410,60,16
9,201411,22,16
10,201412,8,16
11,201501,20,16
12,201502,2,16
13,201504,12,16
14,201505,10,16
15,201506,176,16
16,201507,276,16
17,201508,124,16
18,201509,926,16
19,201510,75,16
20,201511,10,16
21,201512,30,16
22,201602,1,16
23,201603,4,16
24,201604,10,16
25,201605,8,16
26,201606,8,16
27,201607,14,16
28,201608,13,16
29,201609,6,16
30,201610,4,16
31,201612,2,16
32,201701,19,16
33,201702,8,16
34,201703,6,16
35,201704,9,16
36,201705,10,16
37,201706,5,16
38,201707,11,16
39,201708,32,16
40,201709,7,16
41,201710,5,16
42,201712,2,16
43,201801,9,16
44,201802,2,16
45,201804,1,16
46,201805,1,16
47,201806,1,16
48,201807,17,16
49,201808,41,16
50,201809,37,16
51,201810,12,16
52,201812,1,16
53,201902,1,16
54,201903,2,16
55,201905,3,16
56,201906,2,16
57,201907,45,16
58,201908,302,16
0,201403,8,17
1,201404,1,17
2,201405,2,17
3,201406,2,17
4,201407,1,17
5,201501,3,17
6,201502,8,17
7,201503,4,17
8,201504,8,17
9,201505,3,17
10,201506,3,17
11,201507,3,17
12,201602,2,17
13,201603,1,17
14,201605,1,17
15,201608,1,17
0,201401,14,18
1,201402,177,18
2,201403,412,18
3,201404,29,18
4,201405,42,18
5,201406,74,18
6,201407,54,18
7,201408,20,18
8,201409,27,18
9,201410,16,18
10,201411,16,18
11,201412,4,18
12,201501,3,18
13,201502,30,18
14,201503,47,18
15,201504,96,18
16,201505,36,18
17,201506,40,18
18,201507,110,18
19,201508,14,18
20,201509,37,18
21,201510,13,18
22,201511,10,18
23,201512,59,18
24,201601,54,18
25,201602,26,18
26,201603,45,18
27,201604,78,18
28,201605,55,18
29,201606,36,18
30,201607,33,18
31,201608,76,18
32,201609,39,18
33,201610,10,18
34,201611,1,18
35,201612,12,18
36,201701,13,18
37,201702,12,18
38,201703,27,18
39,201704,24,18
40,201705,37,18
41,201706,39,18
42,201707,40,18
43,201708,19,18
44,201709,14,18
45,201710,32,18
46,201711,11,18
47,201712,5,18
48,201801,35,18
49,201802,60,18
50,201803,68,18
51,201804,40,18
52,201805,45,18
53,201806,16,18
54,201807,16,18
55,201808,106,18
56,201809,25,18
57,201810,19,18
58,201811,5,18
59,201812,6,18
60,201901,2,18
61,201902,44,18
62,201903,69,18
63,201904,41,18
64,201905,43,18
65,201906,42,18
66,201907,55,18
67,201908,139,18
0,201401,2,19
1,201402,22,19
2,201403,22,19
3,201404,3,19
4,201405,1,19
5,201406,3,19
6,201407,105,19
7,201503,2,19
8,201505,6,19
9,201506,3,19
10,201507,16,19
11,201808,3,19
0,201401,4,1
1,201402,40,1
2,201403,107,1
3,201404,14,1
4,201405,24,1
5,201406,58,1
6,201407,76,1
7,201408,21,1
8,201409,56,1
9,201410,27,1
10,201411,34,1
11,201412,14,1
12,201501,23,1
13,201502,11,1
14,201503,20,1
15,201504,52,1
16,201505,40,1
17,201506,64,1
18,201507,220,1
19,201508,36,1
20,201509,314,1
21,201510,40,1
22,201511,15,1
23,201512,42,1
24,201601,17,1
25,201603,19,1
26,201604,34,1
27,201605,18,1
28,201606,32,1
29,201607,30,1
30,201608,12,1
31,201609,12,1
32,201610,4,1
33,201611,2,1
34,201612,7,1
35,201701,12,1
36,201702,11,1
37,201703,3,1
38,201704,12,1
39,201705,25,1
40,201706,25,1
41,201707,30,1
42,201708,20,1
43,201709,9,1
44,201710,20,1
45,201711,9,1
46,201712,3,1
47,201801,28,1
48,201802,13,1
49,201803,31,1
50,201804,11,1
51,201805,14,1
52,201806,10,1
53,201807,12,1
54,201808,42,1
55,201809,50,1
56,201810,19,1
57,201811,6,1
58,201812,2,1
59,201901,4,1
60,201902,19,1
61,201903,45,1
62,201904,18,1
63,201905,29,1
64,201906,32,1
65,201907,66,1
66,201908,221,1
0,201401,4,2
1,201402,92,2
2,201403,56,2
3,201404,24,2
4,201405,4,2
5,201406,186,2
6,201407,234,2
7,201408,74,2
8,201409,176,2
9,201410,64,2
10,201411,14,2
11,201412,8,2
12,201501,40,2
13,201502,20,2
14,201503,14,2
15,201504,28,2
16,201505,85,2
17,201506,318,2
18,201507,1169,2
19,201508,133,2
20,201509,1054,2
21,201510,81,2
22,201511,9,2
23,201512,22,2
24,201601,1,2
25,201602,10,2
26,201603,21,2
27,201604,23,2
28,201605,10,2
29,201606,22,2
30,201607,94,2
31,201608,65,2
32,201609,29,2
33,201610,21,2
34,201611,1,2
35,201612,4,2
36,201701,29,2
37,201702,10,2
38,201703,8,2
39,201704,6,2
40,201705,8,2
41,201706,22,2
42,201707,25,2
43,201708,25,2
44,201709,4,2
45,201710,23,2
46,201712,2,2
47,201801,13,2
48,201802,12,2
49,201803,13,2
50,201804,16,2
51,201805,12,2
52,201806,9,2
53,201807,29,2
54,201808,98,2
55,201809,159,2
56,201810,35,2
57,201811,2,2
58,201812,3,2
59,201901,4,2
60,201902,2,2
61,201903,54,2
62,201904,11,2
63,201905,36,2
64,201906,23,2
65,201907,199,2
66,201908,567,2
0,201401,11,3
1,201402,59,3
2,201403,20,3
3,201404,11,3
4,201405,12,3
5,201406,8,3
6,201407,21,3
7,201408,23,3
8,201409,13,3
9,201410,3,3
10,201501,4,3
11,201502,22,3
12,201503,23,3
13,201504,16,3
14,201505,21,3
15,201506,15,3
16,201507,27,3
17,201602,20,3
18,201603,6,3
19,201604,2,3
20,201606,1,3
21,201607,1,3
22,201608,1,3
23,201610,6,3
24,201808,2,3
0,201401,4,4
1,201402,110,4
2,201403,208,4
3,201406,38,4
4,201407,109,4
5,201408,10,4
6,201409,1,4
7,201502,7,4
8,201503,40,4
9,201504,11,4
10,201506,4,4
11,201507,41,4
12,201508,1,4
13,201509,4,4
14,201602,2,4
15,201603,10,4
16,201604,6,4
17,201608,19,4
18,201609,2,4
19,201610,2,4
20,201702,4,4
21,201708,1,4
22,201801,3,4
23,201802,2,4
24,201803,8,4
25,201804,1,4
26,201807,12,4
27,201808,78,4
28,201901,1,4
29,201902,18,4
30,201903,11,4
31,201904,2,4
32,201906,1,4
33,201907,4,4
34,201908,15,4
0,201401,11,5
1,201402,326,5
2,201403,878,5
3,201404,37,5
4,201405,9,5
5,201406,221,5
6,201407,278,5
7,201408,34,5
8,201409,3,5
9,201410,2,5
10,201411,20,5
11,201412,6,5
12,201501,9,5
13,201502,55,5
14,201503,96,5
15,201504,81,5
16,201505,30,5
17,201506,66,5
18,201507,275,5
19,201508,13,5
20,201509,26,5
21,201510,5,5
22,201511,8,5
23,201512,6,5
24,201601,41,5
25,201602,6,5
26,201603,58,5
27,201604,34,5
28,201605,19,5
29,201606,29,5
30,201607,27,5
31,201608,97,5
32,201609,38,5
33,201610,10,5
34,201611,5,5
35,201612,5,5
36,201701,13,5
37,201702,21,5
38,201703,16,5
39,201704,20,5
40,201705,24,5
41,201706,13,5
42,201707,23,5
43,201708,11,5
44,201709,4,5
45,201710,11,5
46,201711,3,5
47,201712,4,5
48,201801,15,5
49,201802,30,5
50,201803,30,5
51,201804,27,5
52,201805,13,5
53,201806,7,5
54,201807,29,5
55,201808,204,5
56,201809,5,5
57,201810,1,5
58,201811,1,5
59,201901,6,5
60,201902,81,5
61,201903,86,5
62,201904,28,5
63,201905,23,5
64,201906,36,5
65,201907,47,5
66,201908,85,5
0,201403,1,6
1,201404,2,6
2,201405,4,6
3,201406,20,6
4,201407,14,6
5,201408,2,6
6,201409,7,6
7,201501,1,6
8,201502,4,6
9,201503,2,6
10,201504,5,6
11,201505,4,6
12,201506,9,6
13,201507,21,6
14,201601,3,6
15,201602,1,6
16,201604,1,6
17,201607,2,6
18,201608,1,6
0,201401,2,7
1,201402,287,7
2,201403,1778,7
3,201405,6,7
4,201406,156,7
5,201407,399,7
6,201408,14,7
7,201409,34,7
8,201410,4,7
9,201501,12,7
10,201502,84,7
11,201503,218,7
12,201504,24,7
13,201505,10,7
14,201506,93,7
15,201507,678,7
16,201508,46,7
17,201509,496,7
18,201510,104,7
19,201511,4,7
20,201512,2,7
21,201602,27,7
22,201603,100,7
23,201604,57,7
24,201606,3,7
25,201607,20,7
26,201608,74,7
27,201609,5,7
28,201610,17,7
29,201612,2,7
30,201701,3,7
31,201702,15,7
32,201706,1,7
33,201707,12,7
34,201708,7,7
35,201710,6,7
36,201801,25,7
37,201802,61,7
38,201804,10,7
39,201805,1,7
40,201806,1,7
41,201807,37,7
42,201808,378,7
43,201809,117,7
44,201810,13,7
45,201812,1,7
46,201901,2,7
47,201902,131,7
48,201903,163,7
49,201904,4,7
50,201905,7,7
51,201906,4,7
52,201907,46,7
53,201908,485,7
0,201401,45,8
1,201402,381,8
2,201403,466,8
3,201404,4,8
4,201405,17,8
5,201406,47,8
6,201407,26,8
7,201408,11,8
8,201409,46,8
9,201410,30,8
10,201411,4,8
11,201412,4,8
12,201501,22,8
13,201502,21,8
14,201503,67,8
15,201504,38,8
16,201505,22,8
17,201506,74,8
18,201507,275,8
19,201508,54,8
20,201509,432,8
21,201510,41,8
22,201511,1,8
23,201512,2,8
24,201601,19,8
25,201602,37,8
26,201603,34,8
27,201604,87,8
28,201605,15,8
29,201606,18,8
30,201607,24,8
31,201608,20,8
32,201609,8,8
33,201610,3,8
34,201611,1,8
35,201612,2,8
36,201701,6,8
37,201702,10,8
38,201703,2,8
39,201704,3,8
40,201705,15,8
41,201706,17,8
42,201707,12,8
43,201708,17,8
44,201709,1,8
45,201710,10,8
46,201711,7,8
47,201712,1,8
48,201801,27,8
49,201802,107,8
50,201803,20,8
51,201804,5,8
52,201805,13,8
53,201806,4,8
54,201807,17,8
55,201808,48,8
56,201809,28,8
57,201810,7,8
58,201811,3,8
59,201901,2,8
60,201902,71,8
61,201903,133,8
62,201904,7,8
63,201905,18,8
64,201906,11,8
65,201907,175,8
66,201908,513,8
0,201409,3,9
1,201410,1,9
2,201503,6,9
3,201603,1,9
4,201608,1,9
